name,def,category
퇴직급여채무 ,"①확정 급여 채무(VBO): 현시점에서 제도를 종료시킨다는 가정하에 지급해야할 금액
②누적 급여 채무(ABO): 급여 상승률을 반영하지 않고 예상 퇴직시점의 급부 현가액 중 이미 제공한 근무에 의해 발생된 부분
③예측 급여 채무(PBO): 급여 상승률을 반영하고 예상 퇴직시점의 급부 현가액 중 이미 제공한 근무에 의해 발생된 부분",퇴직연금
퇴직급여충당금 ,"기업이 퇴직금을 당해 종업원들의 재직기간중의 각 기간에 사전 분배를 하며 매기마다 일정액을 비용처리하여 회계장부상에 적립한 금액. 
이에 대한 일정부분만 손금(비용)으로 인정",퇴직연금
퇴직연금규약 ,퇴직연금제도를 설정하려는 사용자가「근로자퇴직급여보장법」에서 정하는 사항에 대해 근로자 대표의 동의를 얻어 작성하여 노동부 장관에게 신고하는 서류,퇴직연금
퇴직연금사업자 ,"퇴직연금제도의 운용관리업무 및 자산관리업무를 수행하기 위하여「근로자퇴직급여보장법」제14조의 규정에 의하여 재무건전성 및 인적, 물적 요건 등을 갖추고 노동부장관(금감위에 위임)에게 등록한 자",퇴직연금
퇴직연금컨설팅 ,"기업의 재정상태, 인사정책, 노사협의 등을 고려하여 기업에 적합한 퇴직연금제도를 설계하고, 적립방식 및 적립금 운용을 위한 상품을 제시하는 등 기업의 퇴직연금 제도 전반의 실행과 운영을 돕는 것",퇴직연금
특별계정,"보험상품의 도입목적, 상품운용방법 등이 일반상품과 크게 상이하여 보험회사로 하여금 다른 보험상품과 구분하여 별도로 관리 및 운용을 할 것을 보험관련 법규에서 지정한 것으로 계정상호간 계약자를 보호하는 것을 목적으로 설정한 것.
주요 특별계정 상품으로는 퇴직보험·세제지원연금저축·변액보험 등이 있음.",퇴직연금
특정금전신탁 ,신탁계약 또는 위탁자의 지시에 의하여 신탁자금의 운용방법이 특정되는 금전신탁,퇴직연금
특정연령방식 ,"재정방식의 하나로서 제도에 가입하는 표준적인 연령(특정연령)의 표준 부담금을 산출하여 전근로자에게 일률적으로 적용하고, 근로자별 부담금의 과부족은 과거 근무채무로 하여 보충 부담금으로 처리하는 재정방식",퇴직연금
근로자대표 ,"당해 사업에 근로자의 과반수로 조직된 노동조합이 있는 경우에는 그 노동조합. 
근로자의 과반수로 조직된 노동조합이 없는 경우에는 근로자 과반수",퇴직연금
펀드(주식형/채권형/혼합형/MMF) ,"투자자로부터 자산에 운용할 목적으로 자금등을 모은 위탁자가 그 재산을 수탁자로 하여금 당해 위탁자의 지시에 따라 투자, 운용하게 하고, 그에 따른 수익권을 분할하여 당해 투자자에게 취득시키는 것을 목적으로 함. 
①채권형: 약관 또는 정관 상 운용대상에 주식이 편입되지 아니하고 자산 총액의 100분의 60이상(또는 연평균 60%이상)을 채권(금리선물포함)으로 운용하는 상품
②주식형: 약관 또는 정관상 자산총액의 100분의 60이상(또는 연평균 60%이상)을 주식(주가지수선물옵션포함)으로 운용하는 상품
③혼합주식형 : 혼합형 중 신탁재산을 주로 주식 등에 투자하는 상품
④혼합채권형: 혼합형 중 신탁재산을 주로 채권 등에 투자하는 상품. 혼합투자신탁중 주식의 최고 편입비율이 50%이상인 경우 혼합주식형/ 편입비율이 50%미만인 경우 혼합채권형으로 구분
⑤단기금융투자(MMF): 유가증권의 운영비율 등에 대한 제한이 없고, 자산을 주로 단기성자산(콜론, CP, CD 등)으로 운용하는 상품",퇴직연금
평균임금 ,"평균임금을 산정하여야 할 사유가 발생한 날 이전 3월간에 그 근로자에 대해 지급된 임금의 총액을 그 기간의 총일수로 나눈 금액을 말함. 취업 후 3월 미만도 이에 준한다. 
단, 위 방법에 의하여 산출된 금액이 당해 근로자의 통상임금보다 저액일 경우에는 그 통상임금액을 평균임금으로 함",퇴직연금
포트폴리오 ,"주식투자에서 위험을 줄이고 투자수익을 극대화하기 위한 일환으로 여러 종목에 분산투자하는 방법. 
은행이나 투자자 등이 가지고 있는 유가증권 목록 또는 투자 자산의 집합을 뜻하기도 함",퇴직연금
Bundle ,"하나의 퇴직연금사업자가 퇴직연금 관련 운용관리 업무와 자산관리업무를 모두 제공하는 형태. 
기업에 대한 One-stop 퇴직연금서비스 제공이 가능한 것이 장점임",퇴직연금
EET 세제체계 ,부담금 납입단계와 적립금 운용단계에서 비과세 후 연금급여 수령단계에서 연금소득으로 과세하는 세제 체계,퇴직연금
ETE 세제체계 ,"부담금 납입단계에서 소득공제로 비과세하고, 적립금 운용단계에서 발생하는 투자수익에 대해 과세 후 연금급여 수령단계에서 비과세하는 세제 체계",퇴직연금
GIC(Guaranteed Investment/Interest Contract) ,가입자가 일정 만기시점(보증기간)까지 보유하는 조건으로 약속한 이율을 보증하는 보험상품,퇴직연금
Unbundle,여러 퇴직연금사업자가 퇴직연금 운용관리 및 자산관리 서비스를 제공하는 형태. 기업은 운용관리 및 자산관리 각 분야의 금융기관을 고를 수 있는 것이 장점임,퇴직연금
TEE 세제체계 ,"부담금 납입단계에서 과세하고, 적립금 운용단계에서 발생하는 투자수익 및 급여수령단계에서의 연금소득에 대해 비과세하는 세제 체계",퇴직연금
개인형퇴직연금(IRP: Individual Retirement Pension) ,퇴직연금제도에 가입한 근로자가 퇴직시 퇴직급여를 수령하기 위한 제도로 근로자의 추가 적립이 가능함. 이직을 하더라도 세제혜택을 받으면서 퇴직금을 계속 적립할 수 있는 장점이 있음. 근로자 10인 미만 기업의 경우에는 모든 근로자가 개인형퇴직연금에 가입하면 퇴직급여제도를 설정한 것으로 인정받음,퇴직연금
급여,퇴직급여제도에 의하여 근로자에게 지급되는 연금 또는 일시금,퇴직연금
고령화 사회 (Aging Society) ,"전체 인구 중 65세 이상 노인층 인구비율이 7% 이상인 사회
- 고령사회 (Aged Society)
전체 인구 중 65세 이상 노인층 인구비율이 14% 이상인 사회 
- 초고령사회 (Super-aged society) 
전체 인구 중 65세 이상 노인층 인구비율이 20% 이상인 사회",퇴직연금
공시이율,"보험상품이 장기·고정금리이기 때문에 시중금리가 급변할 때 이를 신속하게 계약자에게 반영하지 못하는 현실을 감안하여 시중의 지표금리에 연동하여 예정이율을 적용 할 수 있도록 일정기간마다 공표되는 변동이율. 자산운용수익률과 국고채수익률, 회사채수익률, 정기예금이율과 같은 시중의 지표금리에 연동하여 예정이율을 적용할 수 있도록 일정기간마다 공표되는 변동이율",퇴직연금
국제회계기준,미국의 재무회계기준(FAS)에 대응하여 유럽국가 주도의 국제회계기준위원회(IASC)에 의해 추진하고 있는 통일화된 회계기준. 퇴직연금제도는 19조의 적용을 받음,퇴직연금
근로자퇴직급여보장법,"근로자의 안정적인 노후생활 보장을 위해 2005년 12월 1일부터 시행하는 법. 확정급여형(DB) 퇴직연금제도, 확정기여형(DC) 퇴직연금제도, 퇴직금제도, 개인퇴직형퇴직연금을 아우르고 있음",퇴직연금
기대수익률,각각의 투자에 따라 실제로 실현될 가능성이 있는 수익률의 값들을 평균한 값. 실제로 해당기간이 지난 후에 실현되는 수익률은 이러한 기대수익률과는 다를 수도 있음.,퇴직연금
단기금융시장,단기(통상 1년 미만) 금융자산을 거래하는 시장,퇴직연금
목표급여제도,"미국 등의 국가에서 사용되는 확정급여형(DB)제도와 금전구입제도의 중간형태의 제도. 부담금을 목표 소득대체율을 기초로 한 예상 퇴직급여에 의해 산출한다는 점은 확정급여형(DB)제도와 비슷하나, 실제 퇴직시점의 급여는 투자결과에 따라 변동한다 점이 다름. 부담금 납입이 강제라는 점에서는 금전구입제도와 비슷함.",퇴직연금
뮤추얼펀드 (Mutual Fund),간접투자기구의 한 종류로 회사의 재산을 자산에 운용하여 그 수익을 주주에게 배분하는 것을 목적으로 설립된 상법에 의한 주식회사를 일컬음. 투자자들이 이 펀드의 주식을 매입해 주주로서 참여하는 한편 원할 때는 언제든지 주식의 추가 발행/환매가 가능한 투자신탁,퇴직연금
부과방식 (Pay-as-you-go) ,"현재 근로세대가 퇴직 후 받게 될 연금급여 재원을 미래의 근로세대가 부담할 것이라는 전제하에서, 현재의 근로세대가 현재 퇴직세대의 연금급여지출에 필요한 재원을 당장 부담하는 방법",퇴직연금
보충부담금 ,과거근무채무를 일정기간 동안 나누어 내는 부담금,퇴직연금
기록관리(R/K; Record Keeping) ,"퇴직연금 운용관리사업자의 주요 업무 중 하나로, 퇴직연금 적립금의 운용현황을 기록, 보관, 통지하는 업무",퇴직연금
부담금 산출이율 (Valuation interest rate) ,장래의 퇴직급여 예상액을 현재 가치로 환산하여 부담금 산출할 때 적용하는 이율,퇴직연금
세제혜택 ,"세법상 세금을 감면해 주거나 세율을 낮게 책정하여 조세부담을 경감시켜 실질소득이 증가된 것과 같은 효과를 주는 것. 퇴직연금 세제혜택의 기본 형태는 부담금 비과세, 투자수익 비과세, 퇴직급여 과세임",퇴직연금
실적배당펀드 ,"자산운용 결과에 따라 실적(이익)을 배당 받는 형태의 상품. 실적배당형 상품의 특징은 운용의 결과에 대한 책임을 
고객이 지며, 결과가 고객의 몫이 된다는 것임",퇴직연금
운용보고서,"펀드가 어떻게 운용되고 투자결과가 어떠한지를 설명하는 보고서. 주요 내용은 특정 기간 중의 운용경과의 개요,
 자산/부채 등에 관한 사항, 각 유가증권의 포트폴리오에 관한 사항, 운용전문인력에 관한 사항 등임",퇴직연금
위험허용도,"투자자들의 투자 가치의 변동에 대해 감수할 수 있는 정도를 뜻하며, 일반적으로 고객들의 투자성향을 나타냄",퇴직연금
임금채권보장기금제도 ,"도산기업에서 퇴직한 근로자들의 최소한의 생활안정을 위해 체불된 퇴직前 3개월분 임금(휴업수당 포함) 및 3년분 
퇴직금을 기업의 부담금 등으로 조성한 임금채권보장기금에서 지급하는 제도",퇴직연금
적립방식 (Accumulation method) ,"퇴직연금 및 개인연금 등 사적연금에서 주로 쓰이는 방식으로 근로세대는 임금 및 소득 중 일부를 부담금으로 납부하고, 
이에 의하여 적립되는 금액과 운용수익으로 은퇴 이후의 연금을 지급받는 방법",퇴직연금
적격퇴직연금,"일본에서 1962년에 도입된 제도로서, 법인세법上 13가지 적격요건을 충족하고, 국세청에 승인을 득한 퇴직연금계약. 
2002년 4월 확정급여형퇴직연금법의 시행으로 신규설립은 금지되었으며 기존 연금은 2012년까지 확정급여형(DB)제도다른 제도로 전환하여야 함.",퇴직연금
정액분할투자,"부담금을 한꺼번에 투자하지 않고 일정금액씩 주기적으로 나누어 평균 기준가격으로 투자함으로써 기준가격 변동의
 불안정성을 일정 부분 Hedge하여 투자하는 기능으로, 주로 거액을 일시에 납입할 경우 펀드로 자금을 한번에 투입시 그 시점의 시장의 상황에 수익률이 크게 좌우되는 불안정성을 완화하기 위해 개발된 기능",퇴직연금
기산일,"퇴직연금에서는 퇴직급여 산정 기초일/퇴직금 지급에 있어서 퇴직한 날, 사고가 발생한 날 등 금액 산출을 위한 시작일 
혹은 기초일",퇴직연금
정액정기투자,"부담금을 한꺼번에 투자하지 않고 일정금액씩 주기적으로 나누어 평균기준가격으로 투자함으로써 기준가격 변동의 
불안정성을 일정부분 Hedge하여 투자하는 기능. 일시납부담금 등 주로 고액자금을 일시에 납입할 경우 펀드로 자금을 한번에 투입시 그 시점의 시장의 흐름에 수익률이 크게 좌우되는 불안정성을 완화하기 위해 개발된 기능",퇴직연금
채권형펀드,주식에는 전혀 투자하지 않고 채권 및 채권관련 파생상품에 주로 투자하여 상대적으로 안정적인 수익을 추구하는 펀드,퇴직연금
캐쉬밸런스 제도 (Cash Balance Plan) ,"확정급여형(DB)제도와 확정기여형(DC)제도의 장점을 혼합한 제도. 최소한의 퇴직급여가 정해져 있으며 기업이 적립금을 
운용한다는 점에서 확정급여형(DB)제도와 유사하고, 근로자 별로 가상계좌가 설정되며 추가수익이 발생하면 근로자에게 돌아간다는 점에서 확정기여형(DC)제도와 유사함.",퇴직연금
퇴직보험,"퇴직금제도에서 기업이 퇴직급여를 사외에 예치하고 퇴직시에 근로자가 직접 지급받을 수 있는 보험. 
2011년부터 추가 적립 및 신규 가입이 금지됨.",퇴직연금
퇴직연금제도,"기업이 임직원의 노후소득을 보장하기 위해 재직 중에 퇴직급여 재원을 별도의 금융기관에 적립하고 근로자가 퇴직할 때
 일시금 또는 연금형태로 지급하는 기업복지제도. 확정기여형과 확정급여형(DB) 퇴직연금제도가 있음.",퇴직연금
혼합형펀드,"주식형이나 채권형 이외의 펀드로 주식과 채권의 효율적 자산 배분을 통해 주식의 수익성과 채권의 안정성을 동시에 
추구하는 펀드. 주식에 상대적으로 더 많이 투자하는 주식혼합형과 채권에 상대적으로 더 많이 투자하는 채권혼합형으로 나뉨.",퇴직연금
확정급여형 퇴직연금 (Defined Benefit Plan) ,"근로자가 받게 될 퇴직급여를 사전에 연금규약에 정해진 급여공식에 의해 산출하고 부담금 수준은 적립금의 운용수익에
 따라 변동되는 퇴직연금제도",퇴직연금
확정기여형 퇴직연금 (Defined Contribution Plan) ,"사용자의 부담금 수준이 미리 확정되어 있고, 퇴직급여 수준이 개인계좌의 적립금 운용수익에 따라 변동되는 퇴직연금제도",퇴직연금
환매,"판매회사가 고객에게 매각한 수익증권을 고객의 요청에 따라 일정한 조건 (환매수수료 부과) 등으로 판매회사가 다시 
매입하는 것. 개방형 뮤추얼펀드는 언제든 환매가 가능하나, 폐쇄형 뮤추얼펀드는 만기까지 환매가 불가능함.",퇴직연금
환매수수료,"정해진 투자기간 이전에 펀드를 환매(투자자의 입장에서는 출금 또는 해지)할 때 부과되는 수수료. 수익자의 환매를 
억제함으로써 투자신탁의 운용에 안정을 기하고 환매에 따른 사무처리 비용에 충당하기 위해 징구하는 일종의 중도해지 수수료의 성격을 지님",퇴직연금
